,S.No,Name,,Imdb,Twitter,Instagram,Fb,,
,35,Prabhu Deva,Film Actor,https://pro.imdb.com/name/nm0222150,https://twitter.com/PDdancing,https://www.instagram.com/prabhudheva/,https://www.facebook.com/PrabhuDevaOfficial,,
,36,Emraan Hashmi,Film Actor,https://pro.imdb.com/name/nm1431656,https://twitter.com/emraanhashmi,https://www.instagram.com/therealemraan/,https://www.facebook.com/EmraanHashmi,,
,37,Vidyut Jamwal,Film Actor,https://pro.imdb.com/name/nm4651098,https://twitter.com/VidyutJammwal,https://www.instagram.com/mevidyutjammwal/,https://www.facebook.com/OfficialVidyutJammwal,,
,38,Neil Nitin Mukesh,Film Actor,https://pro.imdb.com/name/nm1778703,https://twitter.com/NeilNMukesh,https://www.instagram.com/neilnitinmukesh/,https://www.facebook.com/NeilNMukesh,,
,39,Sunil Grover,Film Actor,https://pro.imdb.com/name/nm1571487,https://twitter.com/WhoSunilGrover,https://www.instagram.com/whosunilgrover/,https://www.facebook.com/WhoSunilGrover,,
,40,Paresh Rawal,Film Actor,https://pro.imdb.com/name/nm0712546,https://twitter.com/SirPareshRawal,https://www.instagram.com/pareshrawal_official/,NA,,
,41,Rana Daggubati,Film Actor,https://pro.imdb.com/name/nm2281292,https://twitter.com/RanaDaggubati,https://www.instagram.com/ranadaggubati/,https://www.facebook.com/RanaDaggubati,,
,42,Karan Johar,Film Actor,https://pro.imdb.com/name/nm0424103,https://twitter.com/karanjohar,https://www.instagram.com/karanjohar/,https://www.facebook.com/karanjohar,,
,43,Boman Irani,Film Actor,https://pro.imdb.com/name/nm1224082,https://twitter.com/bomanirani,https://www.instagram.com/boman_irani/,https://www.facebook.com/BomanIrani,,
,44,Fawad Khan,Film Actor,https://pro.imdb.com/name/nm2717565,https://twitter.com/_fawadakhan_,https://www.instagram.com/fawadkhan81/,https://www.facebook.com/pg/Fawad.Afzal.Khan,,
,45,Ali Zafar,Film Actor,https://pro.imdb.com/name/nm3773554,https://twitter.com/AliZafarsays,https://www.instagram.com/ali_zafar/,https://www.facebook.com/pg/aly.zafar,,
,46,Gurmeet Choudhary,Film Actor,https://pro.imdb.com/name/nm3073211,https://twitter.com/gurruchoudhary,https://www.instagram.com/guruchoudhary/,https://www.facebook.com/Gurmeet.Choudhary,,
,47,Arshad Warsi,Film Actor,https://pro.imdb.com/name/nm0451174,https://twitter.com/ArshadWarsi,https://www.instagram.com/arshad_warsi/,https://www.facebook.com/TheArshadWarsi,,
,48,Govinda,Film Actor,https://pro.imdb.com/name/nm0332871,https://twitter.com/GovindaOfficial,https://www.instagram.com/govinda_herono1/,https://www.facebook.com/HeroNumber1.Govinda,,
,49,Ranbir Kapoor,Film Actor,https://pro.imdb.com/name/nm1633541,NA,https://www.instagram.com/ranbirkapoor/,https://www.facebook.com/RanbirKapoor,,
,50,Manoj Bajpayee,Film Actor,https://pro.imdb.com/name/nm0048075,https://twitter.com/BajpayeeManoj,https://www.instagram.com/bajpayee.manoj/,https://www.facebook.com/Spotlight.ManojBajpayee,,
,51,Mohit Marwah,Film Actor,https://pro.imdb.com/name/nm1963822,https://twitter.com/mohitsmarwah,https://www.instagram.com/mohitmarwah/,https://www.facebook.com/mohitmarwahofficial,,
,52,Randeep Hooda,Film Actor,https://pro.imdb.com/name/nm0393535,https://twitter.com/RandeepHooda,https://www.instagram.com/randeephooda/,https://www.facebook.com/Randeephooda,,
,53,Jimmy Shergill,Film Actor,https://pro.imdb.com/name/nm0792116,https://twitter.com/jimmysheirgill,https://www.instagram.com/jimmysheirgill/,https://www.facebook.com/jimmysheirgill,,
,54,Ayushmann Khurrana,Film Actor,https://pro.imdb.com/name/nm4731677,https://twitter.com/ayushmannk,https://www.instagram.com/ayushmannk/,https://www.facebook.com/ayushmannkhurrana,,
,55,Jackie Shroff,Film Actor,https://pro.imdb.com/name/nm0006763,https://twitter.com/bindasbhidu,https://www.instagram.com/apnabhidu/,https://www.facebook.com/JackieShroff,,
,56,Akshay Oberoi,Film Actor,https://pro.imdb.com/name/nm0643348,https://twitter.com/Akshay0beroi,https://www.instagram.com/akshay0beroi/,https://www.facebook.com/Akshay0beroi,,
